6.3		1	0	0	1		      |	6.3		0	0	0	0
6.4		1	0	0	1		      |	6.4		0	0	0	0
6.5		1	0	1	0		      |	6.5		0	0	0	0
6.6		1	0	0	1		      |	6.6		0	0	0	0
6.8		2	0	0	2		      |	6.8		0	0	0	0
6.9		1	0	1	0		      |	6.9		0	0	0	0
6.17		1	0	0	1		      |	6.17		0	0	0	0
6.18		1	0	1	0		      |	6.18		0	0	0	0
6.19		1	0	1	0		      |	6.19		0	0	0	0
6.23		1	1	0	0		      |	6.23		0	0	0	0
6.27		1	0	0	1		      |	6.27		0	0	0	0
6.28		1	0	1	0		      |	6.28		0	0	0	0
6.29		2	0	0	2		      |	6.29		0	0	0	0
6.30		4	2	0	2		      |	6.30		2	2	0	0
7.3		7	0	2	5		      |	7.3		1	0	0	1
7.11		4	0	0	4		      |	7.11		0	0	0	0
7.15		1	0	1	0		      |	7.15		0	0	0	0
7.16		4	1	2	1		      |	7.16		1	1	0	0
7.22		2	1	0	1		      |	7.22		1	1	0	0
7.25		2	0	0	2		      |	7.25		0	0	0	0
7.29		1	0	0	1		      |	7.29		0	0	0	0
7.30		3	0	0	3		      |	7.30		0	0	0	0
7.31		1	0	1	0		      |	7.31		0	0	0	0
7.33		1	0	0	1		      |	7.33		0	0	0	0
7.36		1	0	0	1		      |	7.36		0	0	0	0
8.1		10	0	0	10		      |	8.1		2	0	0	2
8.3		17	3	8	6		      |	8.3		2	1	1	0
8.4		2	0	1	1		      |	8.4		0	0	0	0
8.6		6	1	3	2		      |	8.6		4	0	3	1
8.7		13	9	0	4		      |	8.7		6	6	0	0
8.13		1	0	1	0		      |	8.13		0	0	0	0
8.18		8	0	1	7		      |	8.18		7	0	1	6
8.19		4	2	0	2		      |	8.19		1	0	0	1
8.20		10	0	3	7		      |	8.20		1	0	1	0
8.21		3	0	1	2		      |	8.21		0	0	0	0
9.5		1	0	0	1		      |	9.5		0	0	0	0
9.11		4	0	2	2		      |	9.11		3	0	2	1
9.15		6	3	2	1		      |	9.15		1	0	0	1
9.17		2	0	1	1		      |	9.17		0	0	0	0
9.22		2	0	0	2		      |	9.22		0	0	0	0
9.23		2	0	0	2		      |	9.23		0	0	0	0
9.24		1	0	0	1		      |	9.24		0	0	0	0
9.28		2	0	1	1		      |	9.28		1	0	1	0
10.1		1	0	0	1		      |	10.1		0	0	0	0
11.7		1	0	0	1		      |	11.7		0	0	0	0
11.17		1	0	0	1		      |	11.17		0	0	0	0
11.22		2	0	0	2		      |	11.22		0	0	0	0
11.24		7	2	1	4		      |	11.24		1	0	0	1
12.1		6	0	1	5		      |	12.1		2	0	1	1
12.5		11	2	2	7		      |	12.5		2	2	0	0
12.6		1	0	0	1		      |	12.6		0	0	0	0
12.7		12	1	1	10		      |	12.7		1	0	1	0
12.9		10	0	1	9		      |	12.9		2	0	0	2
12.15		1	0	0	1		      |	12.15		0	0	0	0
12.16		5	0	3	2		      |	12.16		2	0	2	0
12.17		2	1	1	0		      |	12.17		1	0	1	0
12.19		1	0	0	1		      |	12.19		0	0	0	0
12.20		1	0	0	1		      |	12.20		0	0	0	0
12.22		1	0	0	1		      |	12.22		0	0	0	0
13.2		1	0	0	1		      |	13.2		0	0	0	0
13.3		8	0	5	3		      |	13.3		3	0	3	0
13.4		1	0	0	1		      |	13.4		0	0	0	0
13.5		2	0	0	2		      |	13.5		0	0	0	0
13.7		3	0	0	3		      |	13.7		0	0	0	0
13.10		1	0	0	1		      |	13.10		0	0	0	0
13.11		3	0	0	3		      |	13.11		1	0	0	1
13.15		6	0	0	6		      |	13.15		0	0	0	0
13.17		2	1	0	1		      |	13.17		1	1	0	0
13.18		5	0	5	0		      |	13.18		1	0	1	0
13.19		1	0	1	0		      |	13.19		0	0	0	0
13.20		5	3	0	2		      |	13.20		3	3	0	0
13.21		1	1	0	0		      |	13.21		0	0	0	0
13.22		4	0	1	3		      |	13.22		0	0	0	0
13.23		21	21	0	0		      |	13.23		0	0	0	0
13.25		1	1	0	0		      |	13.25		0	0	0	0
14.2		1	0	1	0		      |	14.2		0	0	0	0
14.5		1	0	0	1		      |	14.5		0	0	0	0
14.6		1	0	0	1		      |	14.6		0	0	0	0
14.12		5	0	0	5		      |	14.12		1	0	0	1
14.13		2	0	0	2		      |	14.13		0	0	0	0
14.17		7	0	0	7		      |	14.17		1	0	0	1
14.21		1	0	1	0		      |	14.21		0	0	0	0
14.25		1	0	0	1		      |	14.25		0	0	0	0
14.33		1	0	1	0		      |	14.33		0	0	0	0
14.35		4	1	2	1		      |	14.35		0	0	0	0
14.39		1	0	0	1		      |	14.39		0	0	0	0
14.43		7	0	2	5		      |	14.43		1	0	0	1
15.1		5	0	0	5		      |	15.1		2	0	0	2
15.3		5	4	0	1		      |	15.3		0	0	0	0
15.5		1	0	0	1		      |	15.5		0	0	0	0
15.6		3	0	1	2		      |	15.6		0	0	0	0
15.8		1	0	0	1		      |	15.8		0	0	0	0
15.9		2	1	1	0		      |	15.9		1	0	1	0
15.46		1	0	0	1		      |	15.46		0	0	0	0
15.18		3	3	0	0		      |	15.18		2	2	0	0
15.25		1	0	0	1		      |	15.25		0	0	0	0
15.32		3	0	2	1		      |	15.32		0	0	0	0
15.36		1	1	0	0		      |	15.36		0	0	0	0
15.39		1	1	0	0		      |	15.39		0	0	0	0
16.1		22	4	4	14		      |	16.1		6	4	2	0
16.2		1	0	0	1		      |	16.2		0	0	0	0
16.12		4	0	1	3		      |	16.12		0	0	0	0
17.5		3	1	1	1		      |	17.5		0	0	0	0
17.6		2	0	0	2		      |	17.6		0	0	0	0
17.13		1	0	0	1		      |	17.13		0	0	0	0
17.17		1	0	0	1		      |	17.17		0	0	0	0
17.19		7	0	1	6		      |	17.19		3	0	1	2
18.7		24	0	2	22		      |	18.7		0	0	0	0
18.8		2	0	1	1		      |	18.8		0	0	0	0
19.1		3	0	0	3		      |	19.1		0	0	0	0
19.2		2	0	2	0		      |	19.2		1	0	1	0
19.4		3	0	0	3		      |	19.4		0	0	0	0
19.6		2	0	2	0		      |	19.6		1	0	1	0
19.12		4	0	1	3		      |	19.12		0	0	0	0
19.18		3	0	1	2		      |	19.18		0	0	0	0
19.19		3	0	2	1		      |	19.19		1	0	0	1
19.20		4	0	0	4		      |	19.20		1	0	0	1
19.21		1	0	0	1		      |	19.21		0	0	0	0
19.22		10	0	0	10		      |	19.22		0	0	0	0
19.23		2	0	1	1		      |	19.23		0	0	0	0
19.25		4	1	1	2		      |	19.25		0	0	0	0
20.1		46	0	11	35		      |	20.1		8	0	3	5
20.2		1	0	0	1		      |	20.2		0	0	0	0
